recipe_id,title,category,ingredients_cleaned
f7991bf2b166494292974814eedc118e,Tongseng Ati Ampela Ayam,ayam,"potong hati ampela ayam dibalut usus , minyak goreng , air , bawang putih , bawang merah , cabe rawit , cabe merah keriting , kemiri , biji ketumbar , jahe , lengkuas , daun salam , lada , garam , penyedap , kecap manis , pala"
0542293c373348ec886d9ccfe38367f6,Ayam Penyet Ala Sy,ayam,"ayam potong bersh , ktumbar bbuk , bawang putih , bawang merah , laus , daun salm , garam , jeruk nipis , bhn sambl ulek , cabe merah , cabe rawit , tomat merah , terasi bkar , jeruk nipis jeruk limau"
de043a98cc8a43b184d64d4e06149d80,Broccoli Rice With Grilled Chicken ( Menu Sehat ),ayam,"bonggol brokoli , dada ayam bumbui dgn garam , lada , rosemary , kecap hitam , jamur king oyster , kentang rebus , bawang putih cincang menumis , garam , lada hitam , gula vetsin memperkuat , rosemary thyme kering"
d84a56dbb6c741a09289334ad6bc4418,Ayam Goreng Kremes Renyah + Sambal Trasi,ayam,"kilo ayam ayam broiler dada potong , daun salam , serai , daun jeruk , santan santan kemasan+air , minyak , bumbu dihaluskan , jsiung bawang putih , siun bawang meraih , biji ketumbar , merica bubuk , kemiri , kunyit , gula , garam , kremes , air rebusan ayam disaring , tepung sagu aq sagu tani , tepung beras , telur utuh , baking powder double acting aq hercules , gula garam , sambal terasi , cabe merah bole ditambah , cabe merah , bawamg putih , bawang merah , tomat , terasi , gula garam"
7cb02aff5b5140919d2830529d960eb9,Balado Ayam,ayam,"fillet ayam , biji bawang bombai , cabe kering , bumbu halus cabe bawang merah bawang putih kemiri merica garam , gula , kapulaga"
3fc111971eb54dbab8598eb973af5947,Mie Ayam,ayam,"ayam fillet , ceker ayam , suka tetelan ayam , minyak ayam , kulit ayam , minyak goreng , bawang putih cincang , tambahan , mie kuning , sawi , daun bawang , daun seledri , serai geprek , daun jeruk , daun salam , laos geprek , bawang goreng , kecap manis , kecap asin , sambal , cabe rawit , bawang putih , bumbu dihaluskan , bawang merah , bawang putih , jahe , kunyit , kemiri , merica bubuk"
bd2cbadf816543d5a7a4481127301b61,Chicken Wings `` Saori '' Super Simple,ayam,"sayap ayam , bawang putih , saori saus tiram , saori saus teriyaki , lada"
60f73ed3c6ba4e359604549e04efd98c,Tim Ayam Bawang,ayam,"ayam potong potong , bawang merah tipis , bawang putih tipis , batang daun bawang potong serong , bawang bombai , jahe , penyedap ayam secukup nya"
5e035f504fd648c698c1e1a151e9c953,Ayam Richeese Saos Fire & Keju,ayam,"adonan ayam crispy , tepung , sayap ayam , telur ayam kocok lepas , saos fire , saos sambal , saos tomat , saos barbeque delmonte , minyak wijen , saos tiram , bawang putih geprek , bon cabe , kecap manis , saos keju , susu uht full cream , keju parut chedar , maizena larutkan air , margarin"
6c2196d3bb7c4d65b08f3ca449e333b2,Sup Kembang Tahu+Bakso Ayam,ayam,"kembang tahu kering , wortel potong dadu , ceker ayam , bakso ayam , ltr air , garam merica , daun bawang"
ef7904609d1349afb06ffade4e38f660,Ayam Jamur Barbecue,ayam,"sayap ayam , jamur campion , bawang bombai , bawang putih , saus kikoman , saus tiram , saus barbecue , kecap manis , sejumput merica garam , minyak , air"
